a			 K K K
cottage			 U U N
cotton			 U U U
couch			 K K K
cough			 U N N
could			 K K K
council			 N N N
counsel			 K K K
count			 K K K
counter			 K K K
counterpart			 K K K
country			 K K K
countryside			 K K K
county			 K K K
couple			 K K K
coupon			 N N N
courage			 K K K
course			 U N N
court			 K K K
courtesy			 U U U
courtyard			 N N N
cousin			 U N N
cover			 K K K
cow			 U N N
coward			 N N N
crab			 U U U
crack			 K K K
cradle			 U U N
craft			 K K K
crane			 U U U
crash			 N N N
crawl			 U N N
crazy			 K K K
cream			 K K K
create			 K K K
creative			 K K K
creature			 K K K
credential			 U U U
credit			 K K K
creep			 K K K
crew			 U U U
cricket			 U U U
crime			 K K K
criminal			 K K K
cripple			 U U U
crisis			 K K K
crisp			 U N N
criterion			 K K K
critic			 K K K
critical			 K K K
criticism			 K K K
criticize			 K K K
crop			 K K K
cross			 K K K
crow			 K K K
crowd			 N N N
crown			 K K K
crucial			 N N N
crude			 U N N
cruel			 U N N
cruise			 U U N
crush			 U U U
crust			 U U U
cry			 K K K
crystal			 K K K
cube			 N N N
cucumber			 U U U
cue			 U N N
cultivate			 N N N
culture			 K K K
cunning			 U N N
cup			 K K K
cupboard			 K K K
curb			 U U N
cure			 U U N
curiosity			 K K K
curious			 K K K
curl			 U N N
currency			 K K K
current			 K K K
curriculum			 U U N
curse			 U U U
curtain			 U U U
curve			 U N N
cushion			 U N N
custom			 K K K
customary			 N N N
customer			 N N N
cut			 K K K
cyberspace			 U N N
cycle			 K K K
cylinder			 K K K
daily			 K K K
dairy			 U U U
dam			 N N N
damage			 K K K
damn			 U N N
damp			 U U U
dance			 K K K
danger			 U N N
dangerous			 K K K
dare			 K K K
dark			 K K K
darling			 U U N
dash			 U U N
data			 K K K
database			 K K K
date			 K K K
daughter			 K K K
dawn			 K K K
day			 K K K
daylight			 K K K
daytime			 K K K
dazzle			 K K K
dead			 K K K
deadline			 K K K
deadly			 N N N
deaf			 U N N
deal			 K K K
dealer			 K K K
dean			 U U U
dear			 N N N
death			 K K K
debate			 K K K
debt			 K K K
decade			 K K K
decay			 U N N
deceit			 U N N
deceive			 K K K
December			 K K K
decent			 K K K
decide			 K K K
decimal			 K K K
decision			 K K K
decisive			 N N N
deck			 N N N
declaration			 K K K
declare			 K K K
decline			 K K K
NULL			 K K K
decorate			 K K K
decrease			 U N N
dedicate			 K K K
deduce			 U N N
deduct			 U U N
deed			 U U N
deem			 U U U
deep			 K K K
deer			 K K K
defeat			 U N N
defence			 K K K
defect			 K K K
defend			 K K K
deficiency			 N N N
deficit			 K K K
define			 K K K
definite			 K K K
definition			 K K K
defy			 U U U
degenerate			 K K K
degree			 K K K
delay			 K K K
delegate			 K K K
delete			 K K K
deliberate			 U U N
delicate			 U N N
delicious			 K K K
delight			 U N N
deliver			 K K K
delivery			 K K K
demand			 K K K
democracy			 K K K
democratic			 K K K
demonstrate			 N N N
denial			 N N N
denote			 N N N
denounce			 K K K
dense			 N N N
density			 K K K
dental			 U U U
dentist			 U U N
deny			 K K K
depart			 N N N
department			 N N N
departure			 N N N
depend			 K K K
dependent			 K K K
depict			 N N N
deposit			 K K K
depress			 K K K
deprive			 U U N
depth			 K K K
deputy			 U U N
derive			 K K K
descend			 K K K
descendant			 N N N
descent			 N N N
describe			 K K K
description			 K K K
desert			 K K K
deserve			 K K K
design			 K K K
designate			 U U N
desirable			 N N N
desire			 N N N
desk			 K K K
desolate			 U U N
despair			 U N N
despatch			 U U U
desperate			 K K K
despise			 U U N
despite			 U U N
dessert			 U U N
destination			 K K K
destiny			 K K K
destroy			 K K K
destruction			 K K K
destructive			 K K K
detach			 K K K
detail			 K K K
detain			 U U U
detect			 U N N
