a			 K K K K
descend			 K K K K
descendant			 N N N N
descent			 N N N N
describe			 K K K K
description			 K K K K
desert			 K K K K
deserve			 K K K K
design			 K K K K
designate			 U U N N
desirable			 N N N N
desire			 N N N N
desk			 K K K K
desolate			 U U N N
despair			 U N N N
despatch			 U U U U
desperate			 K K K K
despise			 U U N N
despite			 U U N N
dessert			 U U N N
destination			 K K K K
destiny			 K K K K
destroy			 K K K K
destruction			 K K K K
destructive			 K K K K
detach			 K K K K
detail			 K K K K
detain			 U U U N
detect			 U N N N
detective			 K K K K
detector			 K K K K
deteriorate			 N N N N
determine			 K K K K
develop			 K K K K
deviate			 U U N N
device			 K K K K
devil			 U N N N
devise			 K K K K
devote			 K K K K
dew			 U U U U
diagnose			 U U U N
diagram			 N N N N
dial			 U N N N
dialect			 U U U U
dialog			 N N N N
diameter			 U U N N
diamond			 K K K K
diary			 U U U U
dictate			 U N N N
dictation			 U N N N
dictionary			 K K K K
die			 N N N N
diet			 N N N N
differ			 K K K K
difference			 K K K K
different			 K K K K
differentiate			 K K K K
difficult			 K K K K
difficulty			 K K K K
diffuse			 U U N N
dig			 K K K K
digest			 U N N N
digital			 K K K K
dignity			 U N N N
dilemma			 K K K K
diligent			 N N N N
dilute			 U U N N
dim			 U N N N
dimension			 K K K K
diminish			 U N N N
dine			 U U U N
dinner			 K K K K
dip			 U U N N
diploma			 U U N N
diplomatic			 U U N N
direct			 N N N N
direction			 K K K K
directly			 K K K K
director			 K K K K
directory			 K K K K
dirt			 U N N N
dirty			 K K K K
disable			 N N N N
disappear			 K K K K
disappoint			 K K K K
disaster			 K K K K
disastrous			 K K K K
disc			 U N N N
discard			 K K K K
discern			 U N N N
discharge			 N N N N
discipline			 N N N N
disclose			 K K K K
discount			 N N N N
discourage			 K K K K
discourse			 U N N N
discover			 K K K K
discovery			 K K K K
discreet			 U U N N
discrepancy			 U U N N
discriminate			 N N N N
discuss			 K K K K
disease			 U N N N
disgrace			 U U N N
disguise			 U N N N
disgust			 U U U U
dish			 K K K K
dislike			 K K K K
dismay			 U U N N
dismiss			 K K K K
disorder			 K K K K
disperse			 U U U U
displace			 K K K K
display			 K K K K
disposal			 U U U U
dispose			 U U U U
disposition			 U U U U
dispute			 N N N N
disregard			 K K K K
disrupt			 U U U U
dissipate			 U U N N
dissolve			 U U U U
distance			 K K K K
distant			 U N N N
distill			 U N N N
distinct			 N N N N
distinction			 N N N N
distinguish			 N N N N
distort			 N N N N
distract			 U U N N
distress			 U N N N
distribute			 K K K K
district			 U U U U
disturb			 K K K K
disturbance			 K K K K
ditch			 U N N N
dive			 N N N N
diverse			 N N N N
diversion			 N N N N
divert			 U U U N
divide			 N N N N
dividend			 N N N N
divine			 U U N N
division			 N N N N
divorce			 K K K K
dizzy			 U N N N
do			 K K K K
dock			 U U U U
doctor			 K K K K
doctorate			 U N N N
document			 K K K K
documentary			 K K K K
dog			 K K K K
doll			 U N N N
dollar			 K K K K
domain			 K K K K
